                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.13306,                0.11924,                0.78509,                0.99756,                 0.9902,                0.99436,                0.98916,                0.11202,                0.09788,                0.77306,               0.001486,               0.001486,               0.001486
                     88,                0.13126,                0.11737,                0.78375,                0.99742,                0.99093,                0.99442,                 0.9891,                0.11183,                0.09722,                0.77324,               0.001387,               0.001387,               0.001387
                     89,                0.13013,                0.11628,                0.78367,                0.99796,                0.98962,                0.99442,                 0.9891,                0.11107,                0.09754,                0.77265,               0.001288,               0.001288,               0.001288
                     90,                0.12845,                0.11527,                0.78346,                  0.998,                0.98963,                0.99446,                0.98906,                0.11137,                0.09662,                0.77308,               0.001189,               0.001189,               0.001189
                     91,                0.12799,                0.11392,                0.78232,                0.99654,                0.99124,                0.99449,                0.98899,                0.11164,                0.09607,                0.77297,                0.00109,                0.00109,                0.00109
                     92,                 0.1238,                0.11082,                 0.7812,                0.99782,                0.99007,                0.99449,                0.98906,                0.11163,                0.09611,                0.77299,               0.000991,               0.000991,               0.000991
                     93,                0.12368,                0.11077,                0.78173,                0.99715,                0.99143,                0.99436,                0.98906,                0.11124,                 0.0963,                0.77278,               0.000892,               0.000892,               0.000892
                     94,                0.12249,                0.10929,                0.78147,                 0.9974,                 0.9905,                 0.9943,                0.98887,                0.11109,                0.09617,                0.77264,               0.000793,               0.000793,               0.000793
                     95,                0.11988,                0.10837,                0.78067,                 0.9972,                0.99105,                 0.9943,                0.98877,                0.11109,                 0.0959,                0.77283,               0.000694,               0.000694,               0.000694
                     96,                0.11856,                0.10643,                0.78047,                0.99742,                0.99098,                 0.9943,                0.98871,                0.11087,                0.09539,                0.77263,               0.000595,               0.000595,               0.000595
                     97,                0.11732,                0.10558,                0.78111,                0.99756,                0.99094,                 0.9943,                 0.9887,                0.11084,                0.09565,                0.77246,               0.000496,               0.000496,               0.000496
                     98,                 0.1158,                0.10456,                 0.7788,                 0.9977,                0.99087,                 0.9943,                0.98874,                0.11057,                0.09558,                0.77256,               0.000397,               0.000397,               0.000397
                     99,                0.11409,                0.10335,                0.77789,                 0.9978,                0.99085,                 0.9943,                0.98871,                0.11046,                0.09549,                0.77264,               0.000298,               0.000298,               0.000298
                    100,                0.11418,                0.10329,                0.77974,                0.99762,                0.99075,                0.99431,                0.98885,                0.11017,                0.09516,                0.77252,               0.000199,               0.000199,               0.000199
